web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1732154411-1","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","61%
                                                        Rp 37.900","Rp 14.900"
"1732154411-2","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Diet Jam Strawbery 375g","40%
                                                        Rp 94.900","Rp 56.900"
"1732154411-3","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","35%
                                                        Rp 25.500","Rp 16.500"
"1732154411-4","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","33%
                                                        Rp 55.700","Rp 37.200"
"1732154411-5","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Quick Cooking Biru 800G","33%
                                                        Rp 55.700","Rp 37.200"
"1732154411-6","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","31%
                                                        Rp 9.100","Rp 6.300"
"1732154411-7","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Caffe Latte Sugar Free Drink 10x14g","30%
                                                        Rp 34.500","Rp 24.000"
"1732154411-8","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Gula Buah 50x2.5G","30%
                                                        Rp 53.500","Rp 37.300"
"1732154411-9","https://www.klikindomaret.com/category/sarapan","Tropicana Slim No Calorie Sweetener Diabetic 100X2g","30%
                                                        Rp 101.500","Rp 70.900"
"1732154411-10","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Low Calori 100X2.5g","30%
                                                        Rp 98.700","Rp 69.000"
"1732154411-11","https://www.klikindomaret.com/category/sarapan","L-Men Crunchy Chocolate Bar 25G","27%
                                                        Rp 11.200","Rp 8.200"
"1732154411-12","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","25%
                                                        Rp 15.900","Rp 11.900"
"1732154411-13","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","25%
                                                        Rp 22.000","Rp 16.500"
"1732154411-14","https://www.klikindomaret.com/category/sarapan","L-Men Strongberry Bar 20G","25%
                                                        Rp 12.200","Rp 9.200"
"1732154411-15","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Cocoa Chia 22G","22%
                                                        Rp 8.900","Rp 6.900"
"1732154411-16","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Yoghurt Berry 22G","22%
                                                        Rp 8.900","Rp 6.900"
"1732154411-17","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 180G","21%
                                                        Rp 31.400","Rp 24.900"
"1732154411-18","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Stevia 50X2.2G","19%
                                                        Rp 78.500","Rp 63.500"
